,graph_name,code,internal_name,name,directory,data_source,availability,consistency_check,category,node_meaning,edge_meaning,network_format,edge_type,temporal_data,reciprocal,directed_cycles,loops,snapshot,dataset_timestamp,network_join,orientation,multiplicity,connectedness,txt_file_size,compressed_txt_file_size,zero_weights,skew_symmetry,complete,k_core,tournament,paths
217,edit-iuwiktionary,miu,edit-iuwiktionary,Wiktionary edits (iu),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
218,edit-lnwiktionary,mln,edit-lnwiktionary,Wiktionary edits (ln),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
219,edit-ltwikisource,qlt,edit-ltwikisource,Wikiquote edits (lt),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
220,petster-friendships-hamster,Shf,petster-friendships-hamster,Hamsterster friendships,,,Dataset is available for download,Dataset passed all tests,Online social network,User,Friendship,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,,,,,,,,,,,,,
221,edit-liwikiquote,qli,edit-liwikiquote,Wikiquote edits (li),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
222,pajek-erdos,EO,pajek-erdos,Erdős,,http://vlado.fmf.uni-lj.si/pub/networks/data/Erdos/Erdos02.net,Dataset is available for download,Dataset passed all tests,Co-authorship network,Author,Co-authorship,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,Is a snapshot and likely to not contain all data,2002,Is the join of an underlying network,,"Does not have multiple edges, but the underlying data has",Only the largest connected component of the original data is included,,,,,,,,
223,edit-zh_min_nanwikisource,qzh-min-nan,edit-zh_min_nanwikisource,Wikiquote edits (zh-min-nan),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
224,edit-euwikiquote,qeu,edit-euwikiquote,Wikiquote edits (eu),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
225,edit-suwiktionary,msu,edit-suwiktionary,Wiktionary edits (su),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
226,edit-pawikisource,qpa,edit-pawikisource,Wikiquote edits (pa),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
227,edit-iswikiquote,qis,edit-iswikiquote,Wikiquote edits (is),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
228,edit-lawikiquote,qla,edit-lawikiquote,Wikiquote edits (la),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
229,edit-mswikibooks,bms,edit-mswikibooks,Wikibooks edits (ms),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
230,petster-hamster-friend,PHf,petster-hamster-friend,Hamsterster friends,,,Dataset is available for download,Dataset passed all tests,Online social network,,,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,,,,,,,,,,,,,
231,edit-tlwikibooks,btl,edit-tlwikibooks,Wikibooks edits (tl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
232,as20000102,AS,as20000102,Route views,,http://snap.stanford.edu/data/as.html,Dataset is available for download,Dataset passed all tests,Computer network,Autonomous system,Communication,"Unipartite, undirected","Unweighted, no multiple edges",,,,Contains loops,,,,"Is not directed, but the underlying data is",,,,,,,,,,
233,edit-sahwikisource,qsah,edit-sahwikisource,Wikiquote edits (sah),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
234,edit-adywiki,ady,edit-adywiki,Wikipedia edits (ady),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
235,edit-atjwiki,atj,edit-atjwiki,Wikipedia edits (atj),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
236,edit-hiwikibooks,bhi,edit-hiwikibooks,Wikibooks edits (hi),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
237,edit-siwikibooks,bsi,edit-siwikibooks,Wikibooks edits (si),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
238,edit-liwikisource,qli,edit-liwikisource,Wikiquote edits (li),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
239,edit-omwiktionary,mom,edit-omwiktionary,Wiktionary edits (om),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
240,edit-quwiktionary,mqu,edit-quwiktionary,Wiktionary edits (qu),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
241,edit-kswiki,ks,edit-kswiki,Wikipedia edits (ks),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
242,edit-rwwiktionary,mrw,edit-rwwiktionary,Wiktionary edits (rw),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
243,dnc-corecipient,DN,dnc-corecipient,DNC co-recipients,,http://www.rene-pickhardt.de/extracting-2-social-network-graphs-from-the-democratic-national-committee-email-corpus-on-wikileaks/,Dataset is available for download,Dataset passed all tests,Online contact network,Person,Co-recipientship,"Unipartite, undirected","Unweighted, multiple edges",,,,Does not contain loops,Is a snapshot and likely to not contain all data,2016,Is the join of an underlying network,,,,,,,,,,,
244,edit-gnwiktionary,mgn,edit-gnwiktionary,Wiktionary edits (gn),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
245,edit-kwwiktionary,mkw,edit-kwwiktionary,Wiktionary edits (kw),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
246,petster-hamster,Sh,petster-hamster,Hamsterster full,,,Dataset is available for download,Dataset passed all tests,Online social network,User,Friendship,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,,,,,,,,,,,,,
247,edit-bgwikibooks,bbg,edit-bgwikibooks,Wikibooks edits (bg),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
248,moreno_health,ME,moreno_health,Adolescent health,,http://moreno.ss.uci.edu/data.html#health,Dataset is available for download,Dataset passed all tests,Human social network,Student,Friendship,"Unipartite, directed","Positive weights, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,
249,edit-mowiki,mo,edit-mowiki,Wikipedia edits (mo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
250,edit-nawiktionary,mna,edit-nawiktionary,Wiktionary edits (na),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
251,edit-kbpwiki,kbp,edit-kbpwiki,Wikipedia edits (kbp),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
252,edit-newikibooks,bne,edit-newikibooks,Wikibooks edits (ne),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
253,edit-etwikiquote,qet,edit-etwikiquote,Wikiquote edits (et),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
254,edit-zuwiktionary,mzu,edit-zuwiktionary,Wiktionary edits (zu),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
255,edit-aywiktionary,may,edit-aywiktionary,Wiktionary edits (ay),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
256,edit-bswikisource,qbs,edit-bswikisource,Wikiquote edits (bs),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
257,edit-sqwikinews,nsq,edit-sqwikinews,Wikinews edits (sq),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
258,edit-srwikibooks,bsr,edit-srwikibooks,Wikibooks edits (sr),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
259,moreno_blogs,Mg,moreno_blogs,Blogs,,http://moreno.ss.uci.edu/data.html#blogs,Dataset is available for download,Dataset passed all tests,Hyperlink network,Blog,Hyperlink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
260,edit-gvwiktionary,mgv,edit-gvwiktionary,Wiktionary edits (gv),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
261,edit-jbowiktionary,mjbo,edit-jbowiktionary,Wiktionary edits (jbo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
262,lqfb-Issue,Li,lqfb-Issue,LiquidFeedback (issues),,,Dataset is not available for download,Dataset passed all tests,Online contact network,,,"Unipartite, directed",Dynamic,Edges are annotated with timestamps,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,
263,edit-srwikiquote,qsr,edit-srwikiquote,Wikiquote edits (sr),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
264,edit-jawikiversity,yja,edit-jawikiversity,Wikiversity edits (ja),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
265,edit-iewiktionary,mie,edit-iewiktionary,Wiktionary edits (ie),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
266,edit-roa_rupwiktionary,mroa-rup,edit-roa_rupwiktionary,Wiktionary edits (roa-rup),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
267,edit-miwiktionary,mmi,edit-miwiktionary,Wiktionary edits (mi),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
268,edit-slwikibooks,bsl,edit-slwikibooks,Wikibooks edits (sl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
269,lqfb-Area,La,lqfb-Area,LiquidFeedback (areas),,,Dataset is not available for download,Dataset passed all tests,Online contact network,,,"Unipartite, directed",Dynamic,Edges are annotated with timestamps,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,
270,edit-dawikiquote,qda,edit-dawikiquote,Wikiquote edits (da),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
271,edit-skwikibooks,bsk,edit-skwikibooks,Wikibooks edits (sk),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
272,edit-twwiki,tw,edit-twwiki,Wikipedia edits (tw),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
273,p2p-Gnutella08,GN,p2p-Gnutella08,Gnutella (08),,http://snap.stanford.edu/data/p2p-Gnutella08.html,Dataset is available for download,Dataset passed all tests,Computer network,Host,Connection,"Unipartite, directed","Unweighted, no multiple edges",,Does not contain reciprocal edges,Contains directed cycles,Does not contain loops,,2002-08-08,,,,,,,,,,,,
274,edit-yiwiktionary,myi,edit-yiwiktionary,Wiktionary edits (yi),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
275,prosper-support,PS,prosper-support,Prosper groups,,http://www.prosper.com/tools/DataExport.aspx,Dataset is not available for download,Dataset passed all tests,Affiliation network,"Member, group",Support,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,,,,,,,,,,,,,
276,twin,SC,twin,Sister cities,,,Dataset is available for download,Dataset passed all tests,Miscellaneous network,City,Twinning,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,2017-10,,,,,,,,,,,,
277,edit-bgwikisource,qbg,edit-bgwikisource,Wikiquote edits (bg),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
278,edit-stwiktionary,mst,edit-stwiktionary,Wiktionary edits (st),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
279,edit-tawikiquote,qta,edit-tawikiquote,Wikiquote edits (ta),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
280,edit-aswikisource,qas,edit-aswikisource,Wikiquote edits (as),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
281,wiki_talk_cy,Tcy,wiki_talk_cy,Wikipedia talk (cy),,https://zenodo.org/record/49561,Dataset is available for download,Dataset passed all tests,Communication network,User,Message,"Unipartite, directed","Unweighted, multiple edges",Edges are annotated with timestamps,Contains reciprocal edges,Contains directed cycles,Contains loops,,2017-10-27,,,,,,,,,,,,
282,wiki_talk_oc,Toc,wiki_talk_oc,Wikipedia talk (oc),,https://zenodo.org/record/49561,Dataset is available for download,Dataset passed all tests,Communication network,User,Message,"Unipartite, directed","Unweighted, multiple edges",Edges are annotated with timestamps,Contains reciprocal edges,Contains directed cycles,Contains loops,,2017-10-27,,,,,,,,,,,,
283,edit-tawikibooks,bta,edit-tawikibooks,Wikibooks edits (ta),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
284,edit-amwiktionary,mam,edit-amwiktionary,Wiktionary edits (am),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
285,edit-vewiki,ve,edit-vewiki,Wikipedia edits (ve),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
286,edit-kiwiki,ki,edit-kiwiki,Wikipedia edits (ki),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
287,edit-bnwikibooks,bbn,edit-bnwikibooks,Wikibooks edits (bn),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
288,edit-tewikiquote,qte,edit-tewikiquote,Wikiquote edits (te),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
289,edit-tiwiki,ti,edit-tiwiki,Wikipedia edits (ti),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
290,arenas-pgp,PG,arenas-pgp,Pretty Good Privacy,,http://deim.urv.cat/~aarenas/data/welcome.htm,Dataset is available for download,Dataset passed all tests,Online contact network,User,Interaction,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,Is a snapshot and likely to not contain all data,,,,,Only the largest connected component of the original data is included,,,,,,,,
291,edit-siwiktionary,msi,edit-siwiktionary,Wiktionary edits (si),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
292,edit-simplewikibooks,bsimple,edit-simplewikibooks,Wikibooks edits (simple),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
293,edit-mlwikibooks,bml,edit-mlwikibooks,Wikibooks edits (ml),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
294,edit-akwiki,ak,edit-akwiki,Wikipedia edits (ak),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
295,edit-guwikiquote,qgu,edit-guwikiquote,Wikiquote edits (gu),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
296,edit-nywiki,ny,edit-nywiki,Wikipedia edits (ny),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
297,edit-kowikiversity,yko,edit-kowikiversity,Wikiversity edits (ko),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
298,edit-idwikiquote,qid,edit-idwikiquote,Wikiquote edits (id),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
299,edit-kawikibooks,bka,edit-kawikibooks,Wikibooks edits (ka),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
300,p2p-Gnutella09,GN,p2p-Gnutella09,Gnutella (09),,http://snap.stanford.edu/data/p2p-Gnutella09.html,Dataset is available for download,Dataset passed all tests,Computer network,Host,Connection,"Unipartite, directed","Unweighted, no multiple edges",,Does not contain reciprocal edges,Contains directed cycles,Does not contain loops,,2002-08-09,,,,,,,,,,,,
301,edit-iswikisource,qis,edit-iswikisource,Wikiquote edits (is),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
302,edit-fjwiki,fj,edit-fjwiki,Wikipedia edits (fj),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
303,edit-glwikisource,qgl,edit-glwikisource,Wikiquote edits (gl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
304,edit-sgwiki,sg,edit-sgwiki,Wikipedia edits (sg),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
305,dimacs10-polblogs,PB,dimacs10-polblogs,Political blogs,,https://www.cc.gatech.edu/dimacs10/archive/clustering.shtml,Dataset is available for download,Dataset passed all tests,Hyperlink network,Blog,Link,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,Is a snapshot and likely to not contain all data,2005,,,,,,,,,,,,
306,edit-sowiktionary,mso,edit-sowiktionary,Wiktionary edits (so),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
307,edit-rnwiki,rn,edit-rnwiki,Wikipedia edits (rn),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
308,edit-chwiki,ch,edit-chwiki,Wikipedia edits (ch),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
309,edit-pawiktionary,mpa,edit-pawiktionary,Wiktionary edits (pa),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
310,edit-hrwikibooks,bhr,edit-hrwikibooks,Wikibooks edits (hr),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
