,graph_name,directed,size,volume,n,m,unique_edge_count,loop_count,wedge_count,claw_count,cross_count,triangle_count,square_count,tour_count_4,maximum_degree,maximum_outdegree,maximum_indegree,average_degree,fill,average_edge_multiplicity,size_of_lcc,size_of_lscc,relative_size_of_lscc,diameter,percentile_effective_diameter_50,percentile_effective_diameter_90,median_distance,mean_distance,gini_coefficient,balanced_inequality_ratio,outdegree_balanced_inequality_ratio,indegree_balanced_inequality_ratio,relative_edge_distribution_entropy,power_law_exponent,tail_power_law_exponent,tail_power_law_exponent_with_p,p_value,degree_assortativity,degree_assortativity_p_value,clustering_coefficient,directed_clustering_coefficient,spectral_norm,operator_2_norm,cyclic_eigenvalue,reciprocity,non_bipartivity,normalized_non_bipartivity,algebraic_non_bipartivity,spectral_bipartite_frustration,relative_controllability,controllability,in_outdegree_correlation,outdegree_tail_power_law_exponent_with_p,indegree_p_value,indegree_tail_power_law_exponent_with_p,outdegree_p_value,algebraic_connectivity,spectral_separation,triadic_conflict,spectral_signed_frustration,algebraic_conflict,negativity,left_balanced_inequality_ratio,average_left_degree,right_size,left_size,maximum_right_degree,maximum_left_degree,right_balanced_inequality_ratio,right_tail_power_law_exponent_with_p,left_p_value,right_p_value,left_tail_power_law_exponent_with_p,average_right_degree
332,edit-stwiki,0,2689,14965,,,6553,,358985,18035605,901060854,,714618,7173522,1009,,,11.1305,0.00497049,2.28369,2070,,,16,3.98455,6.55887,4,4.87301,0.8211,0.148079,,,0.825948,2.63167,1.951,1.951,0.0,-0.247351,6.14901e-92,,,199.855,,,,,,,,0.540724,1434,,,,,,0.0242923,1.672,,,,,0.121751,23.2016,2044,645,220,1009,0.188106,2.071,0.012,0.0,1.711,7.32143
333,p2p-Gnutella05,1,8846,31839,,,,0,439066,4075019,52261084,1112,64998,2339926,88,65,79,7.19851,0.000406925,,8842,3234,0.365589,9,4.26801,5.46791,5,4.7203,0.479385,0.318776,0.439116,0.320079,0.955072,1.67351,4.641,4.641,0.0,0.0146226,0.000224194,0.00759795,0.00788877,23.5499,21.4205,4.35691,0.0,0.12285,0.109553,0.199937,0.00694099,0.578114,5114,0.0917413,4.241,0.015,3.291,0.578,0.200163,1.14006,,,,,,,,,,,,,,,,
334,edit-ltwikibooks,0,3014,14799,,,4132,,706173,187207532,43077676536,,26016,3045748,5061,,,9.82017,0.00460408,3.58156,2703,,,14,3.59837,5.7511,4,4.24242,0.855073,0.134502,,,0.800848,3.69507,2.571,2.571,0.001,-0.180747,1.1112800000000002e-31,,,1007.33,,,,,,,,0.793801,2356,,,,,,0.0172282,1.09458,,,,,0.0902764,44.1761,2679,335,608,5061,0.197986,3.971,0.011,0.779,1.681,5.52408
335,edit-tnwiki,0,3345,15071,,,7611,,522409,43364372,3815476183,,490804,6033898,688,,,9.01106,0.00408505,1.98016,2700,,,14,3.76741,5.81325,4,4.49791,0.792435,0.173081,,,0.833296,2.56112,1.931,1.931,0.045,-0.151102,4.14951e-40,,,167.017,,,,,,,,0.600484,1984,,,,,,0.0269292,1.29007,,,,,0.13244,21.347,2639,706,272,688,0.217968,2.011,0.015,0.001,1.701,5.71088
336,edit-hsbwiktionary,0,5591,15161,,,9573,,7357334,7184717300,5959008992645,,974841,37248574,3639,,,5.42336,0.0077638,1.58373,5353,,,14,3.05272,3.95739,4,3.22918,0.761474,0.192072,,,0.719303,3.6262,2.281,2.281,0.0,-0.433192,0.0,,,187.634,,,,,,,,0.921569,5123,,,,,,0.0110871,2.01759,,,,,0.0741376,65.9174,5361,230,53,3639,0.279863,6.611,0.006,0.439,1.641,2.82802
337,edit-thwikiquote,0,6970,14858,,,8790,,4034841,2071440847,857442965439,,104844,16996328,3575,,,4.26341,0.00330597,1.69033,6640,,,12,3.69181,5.76381,4,4.3692,0.719256,0.21756,,,0.751296,5.18647,2.661,2.661,0.0,-0.369098,7.73021e-282,,,268.443,,,,,,,,0.886941,6072,,,,,,0.014256,1.85626,,,,,0.0991385,36.6864,6565,405,247,3575,0.320905,3.481,0.78,0.003,1.711,2.26321
338,edit-ukwikivoyage,0,2003,15715,,,5101,,1026909,224227482,43732870159,,778190,10358490,3268,,,15.6915,0.00873839,3.08077,1862,,,10,2.55639,3.94526,3,3.12955,0.813039,0.176169,,,0.77705,2.30674,2.731,2.731,0.0,-0.232633,1.1921200000000002e-63,,,894.347,,,,,,,,0.704148,1409,,,,,,0.073012,2.41554,,,,,0.0926503,44.3927,1649,354,941,3268,0.242189,4.371,0.26,0.442,1.791,9.53002
339,edit-rowikivoyage,0,2868,15603,,,9066,,1950090,348940950,51723242288,,3782931,38102340,1754,,,10.8808,0.010684,1.72105,2709,,,12,3.28267,4.05139,4,3.63604,0.808189,0.170224,,,0.76307,2.37708,1.851,1.851,0.0,-0.214396,9.452159999999999e-95,,,164.991,,,,,,,,0.793128,2262,,,,,,0.0228474,1.27873,,,,,0.0893418,46.5761,2533,335,215,1754,0.233609,8.551,0.0,0.211,1.701,6.15989
340,edit-mrwikisource,0,7274,14859,,,8817,,2719308,995352177,318092812541,,36313,11188054,1835,,,4.08551,0.00194839,1.68527,6383,,,12,5.15726,6.17184,6,5.15145,0.743524,0.191736,,,0.764627,6.62797,2.931,2.931,0.0,-0.311847,3.999e-198,,,206.197,,,,,,,,0.908337,6570,,,,,,0.000801333,1.39847,,,,,0.117168,21.6288,6587,687,246,1835,0.303924,2.591,0.59,0.21,1.721,2.25581
341,edit-lgwiki,0,4662,15425,,,7356,,450054,32851554,2545699567,,511235,5906420,989,,,6.61733,0.00270674,2.09693,3165,,,13,4.40286,6.24245,5,4.98127,0.818806,0.148006,,,0.82744,3.17604,2.411,2.411,0.957,-0.221381,2.37926e-82,,,190.222,,,,,,,,0.666227,2527,,,,,,0.0183285,1.37869,,,,,0.136143,22.5842,3979,683,285,989,0.199157,2.371,0.017,0.0,1.681,3.8766
342,edit-ffwiki,0,2330,15753,,,6821,,443123,27923568,1728424597,,1103604,10617894,1301,,,13.5219,0.00644697,2.30949,1744,,,13,3.73371,5.99363,4,4.47722,0.807277,0.168349,,,0.826885,2.36462,2.401,2.401,0.066,-0.0379531,0.00171808,,,190.517,,,,,,,,0.4974,1148,,,,,,0.0177741,1.53053,,,,,0.11693,25.4903,1712,618,232,1301,0.176601,3.291,0.056,0.047,1.701,9.20152
343,opsahl-usairport,1,1574,28236,,,,0,1914691,612363375,60144933383,245172,19604634,164530266,596,302,294,35.878,0.0114043,,1572,1402,0.890724,8,2.59205,3.85467,3,3.13685,0.7534,0.197762,0.200418,0.204349,0.841657,1.54688,1.851,1.851,0.0,-0.113295,9.93038e-99,0.384143,0.363179,23837600.0,11918899.999999998,11918700.0,0.780635,0.723066,0.160504,0.246652,0.00281556,0.379288,597,0.966816,1.851,0.0,1.861,0.0,0.547408,2.70167,,,,,,,,,,,,,,,,
344,edit-azwikibooks,0,6596,15901,,,8783,,9758668,11650031324,11369284088807,,328803,41698982,7291,,,4.82141,0.00353555,1.81043,6279,,,15,2.34481,3.89011,3,3.09558,0.715368,0.222502,,,0.704301,4.66233,3.201,3.201,0.0,-0.320065,2.21676e-208,,,161.223,,,,,,,,0.883085,5816,,,,,,0.00972026,1.23698,,,,,0.0826363,39.6534,6195,401,119,7291,0.324005,4.881,0.435,0.039,1.841,2.56675
345,edit-olowiki,0,3281,16801,,,10469,,6258310,3411695053,1532829171033,,4199399,58649490,3288,,,10.2414,0.0238072,1.60483,3238,,,8,1.72312,3.65733,2,2.59344,0.70331,0.237873,,,0.739091,1.9364,3.631,3.631,0.0,-0.204446,3.4336700000000002e-99,,,155.554,,,,,,,,0.920368,3005,,,,,,0.241425,1.2848,,,,,0.10666,120.007,3141,140,104,3288,0.344325,6.081,0.874,0.465,1.471,5.34893
346,edit-chywiki,0,3229,16528,,,8630,,988282,157621348,23535864936,,1087310,12669320,1304,,,10.2372,0.00368666,1.91518,2634,,,12,3.86529,5.91571,4,4.45349,0.737477,0.214152,,,0.829367,2.24422,2.381,2.381,0.15,-0.229984,5.718049999999999e-104,,,127.892,,,,,,,,0.564577,1801,,,,,,0.0297002,1.04246,,,,,0.130022,15.0391,2130,1099,332,1304,0.240077,3.051,0.008,0.084,1.891,7.75962
347,edit-nowikinews,0,4523,16900,,,8891,,3015476,1590629751,777433607884,,604782,16931298,4967,,,7.47292,0.00505173,1.9008,4213,,,13,3.31375,4.79771,4,3.63568,0.758305,0.209763,,,0.774693,2.753,2.001,2.001,0.0,-0.163462,2.72601e-54,,,331.483,,,,,,,,0.818263,3674,,,,,,0.0155258,2.37076,,,,,0.092426,39.3023,4093,430,722,4967,0.283728,4.631,0.358,0.121,1.681,4.129
348,edit-iswikibooks,0,3571,17046,,,4644,,371085,42474484,4644355479,,30359,1737136,2036,,,9.54691,0.00223695,3.67054,2920,,,13,3.8742,6.48564,4,4.75248,0.772774,0.186055,,,0.838346,3.40524,2.641,2.641,0.0,-0.180862,1.9260299999999998e-35,,,222.518,,,,,,,,0.605626,2067,,,,,,0.0201857,1.25286,,,,,0.191717,23.3187,2840,731,371,2036,0.212191,3.611,0.813,0.231,1.811,6.00211
349,edit-klwiktionary,0,2597,17251,,,8919,,2543694,647004437,142682495973,,3295603,36557746,3607,,,13.2853,0.0177928,1.93419,2230,,,14,3.04965,5.40874,4,3.44292,0.763362,0.208423,,,0.764379,2.01091,3.141,3.141,0.0,0.0987374,9.0731e-21,,,201.534,,,,,,,,0.838558,2140,,,,,,0.0076503,1.56063,,,,,0.0657353,82.1476,2387,210,112,3607,0.278651,8.991,0.0,0.151,1.611,7.22706
350,edit-urwiktionary,0,8456,16967,,,10893,,13616889,20861387620,25616513415791,,701535,60101954,7082,,,4.01301,0.00448072,1.55761,7158,,,17,1.85477,5.11324,2,3.10385,0.721424,0.213915,,,0.705868,4.73008,2.561,2.561,0.0,-0.530306,0.0,,,115.426,,,,,,,,0.923129,6869,,,,,,0.00994258,1.09518,,,,,0.0700183,56.9362,8158,298,58,7082,0.321565,6.181,0.118,0.845,1.671,2.0798
351,ego-twitter,1,23370,33101,,,,0,1231177,43439459,1457090152,8804,165762,6316466,239,238,57,2.83278,6.0609700000000003e-05,,22322,38,0.00162602,15,5.636,7.5594,6,6.18824,0.613256,0.259448,0.311803,0.409293,0.867531,4.33357,2.471,2.471,0.0,-0.477982,0.0,0.0214526,0.207821,25.2098,20.5743,6.31663,0.0163137,0.335034,0.00255068,0.00505639,0.000443346,0.959863,22432,-0.0582159,2.941,0.0,2.841,0.0,0.00503158,1.05194,,,,,,,,,,,,,,,,
352,librec-ciaodvd-trust,1,4658,40133,,,,0,2614007,247680289,13147053018,156501,9178144,83947412,419,100,361,17.2319,0.0018501,,4562,1032,0.221554,9,3.27389,4.42173,4,3.74368,0.785007,0.170458,0.269429,0.198141,0.844275,1.74598,1.551,1.551,0.0,0.103916,2.13628e-158,0.17961,0.195143,129.218,70.1477,59.5183,0.349687,0.790358,0.0627023,0.10735,0.00185179,0.69708,3247,0.551072,1.711,0.0,1.631,0.0,0.107634,1.99812,,,,,,,,,,,,,,,,
353,sociopatterns-infectious,0,410,17298,,,2765,0,48984,347591,2141809,7114,81287,851762,294,,,84.3805,0.0329775,6.25606,410,,,9,3.01932,4.78301,4,3.56794,0.389742,0.358481,,,0.967681,1.42406,6.421,6.421,0.879,0.225752,7.67317e-65,0.435693,,210.048,,,,0.0849919,0.36471,0.645453,0.0119636,0.00487805,2,,,,,,0.378713,1.08197,,,,,,,,,,,,,,,,
354,edit-jamwiki,0,2922,17647,,,10389,,5576208,2736425967,1140722258253,,5232285,64203286,5590,,,12.0787,0.0213825,1.69862,2889,,,9,1.69958,3.59444,2,2.52847,0.725903,0.227801,,,0.740583,1.91211,3.141,3.141,0.0,-0.275906,7.35684e-181,,,309.997,,,,,,,,0.88965,2596,,,,,,0.188405,2.21947,,,,,0.0728169,99.7006,2745,177,462,5590,0.327478,8.411,0.057,0.406,1.561,6.42878
355,edit-svwikiquote,0,4205,17517,,,10116,,1617629,358421201,79572410115,,652640,11716176,1608,,,8.33151,0.00394524,1.73161,3812,,,11,3.44738,4.86767,4,3.88298,0.759626,0.198835,,,0.814245,2.33934,2.051,2.051,0.0,-0.154351,5.65184e-55,,,187.18,,,,,,,,0.676904,2799,,,,,,0.0250508,1.36751,,,,,0.121596,23.6716,3465,740,296,1608,0.268197,4.901,0.277,0.892,1.721,5.05541
356,edit-dzwiki,0,2362,17931,,,6922,,448869,28222323,2112740104,,1553202,14243244,1551,,,15.1829,0.00640238,2.59044,1707,,,13,3.79617,6.13014,4,4.52955,0.85548,0.131504,,,0.813706,2.54234,1.921,1.921,0.0,-0.120824,6.27336e-24,,,282.279,,,,,,,,0.509239,1185,,,,,,0.0225532,2.06235,,,,,0.108862,28.8744,1741,621,244,1551,0.147566,2.021,0.0,0.0,1.721,10.2993
357,edit-hrwikiquote,0,3762,17950,,,8439,,1625186,372786062,80774164065,,800407,12924102,5751,,,9.5428,0.00630307,2.12703,3545,,,13,3.45914,5.53448,4,4.01249,0.815752,0.163315,,,0.783667,2.70795,1.981,1.981,0.0,-0.216179,8.29893e-90,,,853.336,,,,,,,,0.802885,3006,,,,,,0.0209858,8.85084,,,,,0.0948747,45.1005,3364,398,760,5751,0.220557,2.051,0.203,0.0,1.641,5.33591
358,edit-tyvwiki,0,4156,18361,,,8161,,3170466,1617125553,747169496667,,587929,17407862,6346,,,8.8359,0.00572829,2.24985,3913,,,14,3.17158,4.13357,4,3.48149,0.786598,0.188525,,,0.759484,2.79353,1.771,1.771,0.43,-0.259253,1.82577e-125,,,426.091,,,,,,,,0.834348,3425,,,,,,0.0232092,1.68959,,,,,0.0848538,48.7029,3779,377,368,6346,0.265018,6.051,0.71,0.076,1.661,4.85869
359,edit-wowiktionary,0,3964,17778,,,9921,,4494586,1863493558,664531283543,,4042673,50339878,3319,,,8.96973,0.0136314,1.79196,3542,,,15,3.26917,5.42177,4,3.63971,0.787151,0.186326,,,0.731611,2.50732,1.901,1.901,0.0,-0.223922,5.65945e-113,,,198.758,,,,,,,,0.900495,3457,,,,,,0.0114936,1.13446,,,,,0.0666554,92.114,3771,193,213,3319,0.254809,8.901,0.004,0.013,1.611,4.7144
360,edit-dawikibooks,0,4567,17832,,,7257,,1576106,548226998,181074985240,,138225,7433470,3090,,,7.80907,0.00370605,2.45721,4122,,,13,3.55839,5.69136,4,4.2209,0.780038,0.189295,,,0.796453,3.03011,2.941,2.941,0.0,-0.105816,1.59399e-19,,,581.918,,,,,,,,0.803044,3588,,,,,,0.0299291,1.63396,,,,,0.100213,37.2276,4088,479,278,3090,0.264693,3.481,0.228,0.007,1.721,4.36204
361,librec-filmtrust-ratings,0,3579,35494,,,,,9820232,2067481321,376620963773,,99312706,833882216,1044,,,19.8346,0.0113651,,3574,,,7,2.73974,3.83954,3,3.25539,0.716391,0.232969,,,0.811239,1.60527,1.601,1.601,0.0,-0.450722,0.0,,,45.3477,,,,,,,,0.692372,2478,,,,,,0.00721786,1.34374,,0.00336974,0.267701,0.439736,0.312194,23.5371,2071,1508,1044,244,0.116076,2.061,0.218,0.0,3.181,17.1386
362,edit-svwikiversity,0,3417,18300,,,5761,,656692,123074822,20337674407,,127030,3654758,1730,,,10.7112,0.00273751,3.17653,3184,,,15,3.91013,6.2632,4,4.63642,0.761704,0.203934,,,0.830588,2.90547,2.181,2.181,0.4,-0.277999,9.794309999999999e-103,,,252.726,,,,,,,,0.728075,2474,,,,,,0.00642133,1.00581,,,,,0.135355,22.7047,2611,806,345,1730,0.242514,2.561,0.067,0.287,1.841,7.00881
363,edit-elwikivoyage,0,2759,19378,,,5128,,1357788,420615135,108290622444,,247465,7423508,8674,,,14.0471,0.0070972,3.77886,2577,,,12,3.03469,3.8726,4,3.19711,0.798831,0.184436,,,0.761733,3.00598,2.261,2.261,0.0,-0.35904,7.47443e-156,,,451.312,,,,,,,,0.803663,2194,,,,,,0.0465022,2.07998,,,,,0.071834,66.1365,2466,293,246,8674,0.254206,4.521,0.348,0.256,1.721,7.85807
364,edit-rowikibooks,0,4740,18527,,,6974,,1632946,467715409,120906196265,,156041,7794280,4384,,,7.8173,0.00366364,2.65658,4315,,,13,3.67697,5.83441,4,4.46371,0.799692,0.173315,,,0.782637,3.44112,3.011,3.011,0.0,-0.144191,1.02327e-33,,,587.661,,,,,,,,0.832333,3882,,,,,,0.0235706,1.56037,,,,,0.0865224,41.8217,4297,443,268,4384,0.253468,4.111,0.043,0.429,1.751,4.31161
365,prosper-watch,0,23965,35377,,,,,1969047,91785227,3474210963,,35039,8227890,167,,,2.95239,0.000918703,,21630,,,14,5.27298,5.97534,6,5.47814,0.627028,0.257371,,,0.859217,3.64359,2.291,2.291,0.0,0.0447518,3.726770000000001e-17,,,19.7213,,,,,,,,0.855539,20503,,,,,,0.0354575,1.15051,,,,,0.15886,20.4255,22233,1732,16,167,0.383356,4.031,0.0,0.0,1.551,1.59119
366,edit-kowikiquote,0,4197,18841,,,9774,,1902703,437411508,86279150191,,951558,15249052,2543,,,8.97832,0.00433806,1.92767,3843,,,12,3.47524,4.97581,4,3.92974,0.769296,0.19362,,,0.79923,2.46328,2.081,2.081,0.0,-0.202582,4.7648900000000003e-91,,,148.964,,,,,,,,0.745154,3114,,,,,,0.0334858,1.26156,,,,,0.115334,29.8117,3565,632,286,2543,0.253596,4.361,0.516,0.869,1.701,5.28499
367,edit-kowikinews,0,3508,19011,,,10133,,1914163,320758182,43585176656,,1497629,19673694,2151,,,10.8387,0.00866546,1.87615,3233,,,11,3.46712,5.57238,4,4.01253,0.740028,0.223134,,,0.796527,2.09881,1.751,1.751,0.025,-0.0851002,9.41049e-18,,,178.556,,,,,,,,0.804348,2812,,,,,,0.0518182,1.1466,,,,,0.103309,50.9678,3135,373,284,2151,0.305402,5.501,0.814,0.0,1.601,6.06411
368,edit-bswikinews,0,4540,18981,,,10043,,6604021,5062054975,3323143480212,,2371625,45414030,7677,,,8.36167,0.00839169,1.88997,4241,,,15,1.99041,7.51745,2,3.96627,0.723875,0.233207,,,0.7362,2.43869,3.101,3.101,0.0,-0.219552,6.927690000000001e-110,,,320.423,,,,,,,,0.88269,4003,,,,,,0.00705001,1.68788,,,,,0.0639587,67.548,4259,281,354,7677,0.326853,4.941,0.078,0.759,1.691,4.45668
369,p2p-Gnutella04,1,10876,39994,,,,0,518694,3455588,28430866,934,28497,2382740,103,100,72,7.35454,0.00033814,,10876,4317,0.396929,10,4.24541,5.47631,5,4.70938,0.480592,0.31951,0.439441,0.319473,0.957184,1.668,4.581,4.581,0.0,-0.0131686,0.000195734,0.00540203,0.00499917,17.0794,15.4134,4.44696,0.0,0.0805744,0.0218901,0.040791,0.00138659,0.552961,6014,0.17084,2.931,0.601,3.401,0.389,0.0408282,1.08764,,,,,,,,,,,,,,,,
370,sociopatterns-hypertext,0,113,20818,,,2196,0,102182,1810498,26678148,16867,558736,4883008,1483,,,368.46,0.347029,9.47996,113,,,3,1.16076,1.84112,2,1.59131,0.457576,0.328514,,,0.976022,1.28393,4.171,4.171,0.001,-0.12258,3.57618e-16,0.495205,,1291.72,,,,0.00599703,0.764945,0.989464,0.00636438,0.0,0,,,,,,2.0131,1.00603,,,,,,,,,,,,,,,,
371,edit-omwiki,0,3582,19420,,,7835,,777752,110078440,15956457500,,928008,10551710,2122,,,10.8431,0.00421291,2.47862,2828,,,13,3.64759,5.86474,4,4.33598,0.835647,0.142636,,,0.806564,2.91357,2.061,2.061,0.0,-0.338432,3.30787e-209,,,345.166,,,,,,,,0.647751,2203,,,,,,0.0260946,1.63426,,,,,0.107158,30.8254,2952,630,489,2122,0.185994,2.221,0.061,0.0,1.671,6.57859
372,contact,0,274,28244,,,2899,0,118281,9250623,255553498,22332,848067,7261908,2092,,,206.161,0.0775113,9.74267,274,,,4,1.94957,2.79277,2,2.41527,0.841739,0.11036,,,0.794985,1.67286,1.501,1.501,0.0,-0.474322,2.63598e-237,0.566414,,1231.03,,,,0.827927,0.466542,0.827831,0.013349,0.70073,192,,,,,,0.992336,5.81149,,,,,,,,,,,,,,,,
373,edit-eowikiquote,0,4262,19798,,,12720,,4078418,1464139033,473041982176,,2400139,35544860,2381,,,9.29047,0.00830864,1.55645,3939,,,15,3.30128,5.03773,4,3.64031,0.751973,0.209087,,,0.775928,2.13884,2.111,2.111,0.0,-0.312527,3.2603e-286,,,422.194,,,,,,,,0.821488,3479,,,,,,0.0123287,3.24865,,,,,0.09208,49.9949,3866,396,417,2381,0.294929,6.571,0.005,0.344,1.631,5.12106
374,tntp-ChicagoRegional,1,12982,39018,,,,0,53155,435211,558250,807,3027,278090,14,7,7,6.01109,0.000231641,,12979,12978,0.999692,106,42.128,66.9128,43,43.2657,0.216238,0.424573,0.424266,0.424727,0.99077,1.93881,8.581,8.581,0.0,-0.119111,3.3169900000000002e-130,0.045546,0.0453124,8.45335,4.22722,4.22624,0.942693,0.098109,0.022914,0.0511497,0.00402308,0.0816704,1060,0.960178,8.541,0.0,8.531,0.0,0.000795844,1.04843,,,,,,,,,,,,,,,,
375,lqfb-All,1,2154,18060,,,6835,0,336357,11866317,573459722,10721,143954,2164844,1051,325,900,16.7688,0.00159745,2.64228,2056,386,0.179201,10,3.10491,4.40496,4,3.62048,0.683913,0.227871,0.275347,0.208193,0.863855,2.01963,2.771,2.771,0.059,-0.154289,7.29093e-70,0.0956216,0.106474,110.241,81.1331,34.8142,0.103877,0.527836,0.0827079,0.135392,0.0051689,0.621073,1285,0.281949,2.981,0.0,1.691,0.504,0.14122,1.42476,,,,,,,,,,,,,,,,
376,edit-xhwiki,0,3606,20309,,,9082,,721174,61944826,5776230516,,1551339,15321964,1578,,,11.264,0.00415503,2.23618,2901,,,13,3.83073,5.7718,4,4.51662,0.826546,0.151878,,,0.814746,2.67098,1.971,1.971,0.0,-0.194944,1.73877e-78,,,207.063,,,,,,,,0.608435,2135,,,,,,0.0244034,1.59275,,,,,0.114924,26.3411,2835,771,256,1578,0.188537,2.071,0.004,0.0,1.731,7.16367
377,ego-gplus,1,23628,39242,,,,0,14738751,6512607606,3210181194587,18221,2358832,77904048,2771,2748,26,3.32165,7.02936e-05,,23613,50,0.00211613,8,3.48759,4.58291,4,3.95181,0.659896,0.243374,0.28472,0.372713,0.767492,3.98221,2.621,2.621,0.0,-0.388516,0.0,0.00370879,0.115634,63.5954,59.579,6.16889,0.00244636,0.109267,0.00582067,0.0114131,0.000859765,0.994456,23497,0.0564848,1.551,0.0,3.361,0.0,0.0114369,1.12267,,,,,,,,,,,,,,,,
378,lqfb-temporal,1,127833,18059,,,6835,0,336357,11866317,573459722,10721,143954,2164844,1050,325,899,0.282541,0.00159745,2.64214,2056,386,0.00301956,10,3.13058,4.3894,4,3.62843,0.683913,0.227871,0.275347,0.208193,0.863855,2.01963,2.771,2.771,0.06,-0.154289,7.29093e-70,0.0956216,0.106474,110.244,81.1405,34.8142,0.103877,0.527836,0.0827079,0.135392,0.0051689,0.62059,1284,0.570974,2.981,0.0,1.691,0.503,0.14122,1.42467,,,,,,,,,,,,,,,,
379,edit-elwikiquote,0,4390,20779,,,10760,,3283792,1389322515,519501603459,,1409427,24446696,2561,,,9.46651,0.00507102,1.93113,3980,,,11,3.28801,4.55318,4,3.60265,0.795443,0.179701,,,0.781382,2.45264,2.091,2.091,0.0,-0.311531,8.00573e-241,,,199.057,,,,,,,,0.766413,3327,,,,,,0.0427406,1.06831,,,,,0.0975504,37.575,3837,553,241,2561,0.247317,6.091,0.38,0.436,1.691,5.41543
380,edit-vecwiktionary,0,3366,20858,,,10994,,6427418,3594663253,1712126731071,,4044839,58099600,5750,,,12.3933,0.0167371,1.89722,3239,,,12,1.6727,3.61222,2,2.52492,0.723772,0.224662,,,0.739348,1.95887,3.151,3.151,0.0,-0.363437,0.0,,,275.168,,,,,,,,0.89691,3019,,,,,,0.050304,1.77369,,,,,0.0639563,100.279,3158,208,302,5750,0.330521,3.581,0.351,0.0,1.601,6.60481
381,edit-sdwiktionary,0,5237,20835,,,8675,,7527102,7882348717,6867063482926,,1126409,39152478,11942,,,7.95685,0.00958159,2.40173,4973,,,14,1.85511,5.11639,2,3.10495,0.785688,0.186753,,,0.70647,3.82584,2.341,2.341,0.0,-0.404854,0.0,,,393.845,,,,,,,,0.932308,4848,,,,,,0.0104653,4.04117,,,,,0.0614351,116.397,5058,179,120,11942,0.269258,2.401,0.008,0.0,1.621,4.11922
382,edit-jawikiquote,0,5011,20595,,,10205,,2198017,905246428,364401688237,,593732,13564338,5562,,,8.21992,0.00275579,2.01813,4255,,,12,3.38789,4.84281,4,3.80834,0.773692,0.191479,,,0.806151,2.64826,2.171,2.171,0.0,-0.19364,8.647830000000002e-87,,,457.735,,,,,,,,0.674644,3270,,,,,,0.0239034,4.13306,,,,,0.107793,22.8579,4110,901,767,5562,0.245836,4.121,0.03,0.19,1.821,5.01095
383,edit-tkwiktionary,0,5810,20603,,,13065,,12689094,13382605535,12484933019076,,6477068,102599358,4718,,,7.09225,0.011059,1.57696,5294,,,14,1.67891,4.59787,2,2.90944,0.774014,0.191865,,,0.704448,2.69104,2.621,2.621,0.0,-0.395787,0.0,,,184.341,,,,,,,,0.929475,5219,,,,,,0.00435402,1.61741,,,,,0.0575644,97.6445,5599,211,47,4718,0.275639,8.991,0.234,0.019,1.481,3.67976
384,edit-viwikiquote,0,3929,20595,,,5896,,1049988,286148704,71475607822,,70579,4777428,4626,,,10.4836,0.00273937,3.49305,3555,,,11,3.43337,4.83387,4,3.86657,0.860403,0.136417,,,0.797846,3.55854,2.261,2.261,0.0,-0.243671,1.93313e-80,,,2988.97,,,,,,,,0.77184,3004,,,,,,0.0334022,1.72465,,,,,0.0891964,31.2994,3271,658,2860,4626,0.188395,2.761,0.156,0.051,1.911,6.29624
385,edit-sqwikibooks,0,7177,21709,,,7732,,5089352,3203812097,1654265745277,,60813,20868872,10449,,,6.0496,0.00371227,2.80768,6532,,,16,3.45536,5.5569,4,3.97642,0.772986,0.191211,,,0.714519,8.32373,3.181,3.181,0.0,-0.28342,8.86994e-143,,,494.485,,,,,,,,0.91448,6309,,,,,,0.0191178,1.69007,,,,,0.0514533,71.6469,6874,303,202,10449,0.28882,4.931,0.0,0.388,1.811,3.15813
386,edit-gdwiktionary,0,4377,21686,,,10349,,6861392,4452849151,2456002817692,,2979460,51302090,6602,,,9.90907,0.0106321,2.09547,4174,,,13,1.95485,3.95874,2,3.10145,0.733059,0.226344,,,0.724839,2.44649,1.631,1.631,0.163,-0.364783,4e-323,,,230.986,,,,,,,,0.897612,3910,,,,,,0.0372808,1.43464,,,,,0.0659873,92.2809,4142,235,163,6602,0.3191,3.961,0.011,0.0,1.621,5.23563
387,edit-zawiki,0,3503,21987,,,10329,,1169119,148547356,18957306153,,2489062,24612290,2062,,,12.5532,0.005345,2.12867,2235,,,13,3.48343,5.6557,4,4.09412,0.808014,0.165393,,,0.81673,2.11332,1.731,1.731,0.0,-0.127276,1.4585999999999998e-38,,,234.773,,,,,,,,0.556346,1565,,,,,,0.024905,1.71561,,,,,0.104835,32.051,2817,686,284,2062,0.195252,6.211,0.001,0.474,1.701,7.80511
388,edit-kowikibooks,0,6633,22016,,,9749,,5695692,4189434370,2499440782190,,474275,26609558,4753,,,6.63832,0.00272602,2.25828,5973,,,13,3.36562,5.28623,4,3.76385,0.773915,0.190748,,,0.759571,3.41,2.891,2.891,0.0,-0.214417,9.12906e-102,,,332.497,,,,,,,,0.829821,5276,,,,,,0.030861,1.49299,,,,,0.10456,37.1892,6041,592,240,4753,0.275027,3.691,0.97,0.236,1.751,3.64443
