graph_name,name,code,n,m,konect_url,data_url
p2p-Gnutella05,Gnutella (05),GN,8846,31839,http://konect.cc/networks/p2p-Gnutella05/,http://konect.cc/files/download.tsv.p2p-Gnutella05.tar.bz2
edit-ltwikibooks,Wikibooks edits (lt),blt,3014,14799,http://konect.cc/networks/edit-ltwikibooks/,http://konect.cc/files/download.tsv.edit-ltwikibooks.tar.bz2
edit-tnwiki,Wikipedia edits (tn),tn,3345,15071,http://konect.cc/networks/edit-tnwiki/,http://konect.cc/files/download.tsv.edit-tnwiki.tar.bz2
edit-hsbwiktionary,Wiktionary edits (hsb),mhsb,5591,15161,http://konect.cc/networks/edit-hsbwiktionary/,http://konect.cc/files/download.tsv.edit-hsbwiktionary.tar.bz2
edit-thwikiquote,Wikiquote edits (th),qth,6970,14858,http://konect.cc/networks/edit-thwikiquote/,http://konect.cc/files/download.tsv.edit-thwikiquote.tar.bz2
edit-ukwikivoyage,Wikivoyage edits (uk),vuk,2003,15715,http://konect.cc/networks/edit-ukwikivoyage/,http://konect.cc/files/download.tsv.edit-ukwikivoyage.tar.bz2
edit-rowikivoyage,Wikivoyage edits (ro),vro,2868,15603,http://konect.cc/networks/edit-rowikivoyage/,http://konect.cc/files/download.tsv.edit-rowikivoyage.tar.bz2
edit-mrwikisource,Wikiquote edits (mr),qmr,7274,14859,http://konect.cc/networks/edit-mrwikisource/,http://konect.cc/files/download.tsv.edit-mrwikisource.tar.bz2
edit-lgwiki,Wikipedia edits (lg),lg,4662,15425,http://konect.cc/networks/edit-lgwiki/,http://konect.cc/files/download.tsv.edit-lgwiki.tar.bz2
edit-ffwiki,Wikipedia edits (ff),ff,2330,15753,http://konect.cc/networks/edit-ffwiki/,http://konect.cc/files/download.tsv.edit-ffwiki.tar.bz2
opsahl-usairport,US airports,AF,1574,28236,http://konect.cc/networks/opsahl-usairport/,http://konect.cc/files/download.tsv.opsahl-usairport.tar.bz2
edit-azwikibooks,Wikibooks edits (az),baz,6596,15901,http://konect.cc/networks/edit-azwikibooks/,http://konect.cc/files/download.tsv.edit-azwikibooks.tar.bz2
edit-olowiki,Wikipedia edits (olo),olo,3281,16801,http://konect.cc/networks/edit-olowiki/,http://konect.cc/files/download.tsv.edit-olowiki.tar.bz2
edit-chywiki,Wikipedia edits (chy),chy,3229,16528,http://konect.cc/networks/edit-chywiki/,http://konect.cc/files/download.tsv.edit-chywiki.tar.bz2
edit-nowikinews,Wikinews edits (no),nno,4523,16900,http://konect.cc/networks/edit-nowikinews/,http://konect.cc/files/download.tsv.edit-nowikinews.tar.bz2
edit-iswikibooks,Wikibooks edits (is),bis,3571,17046,http://konect.cc/networks/edit-iswikibooks/,http://konect.cc/files/download.tsv.edit-iswikibooks.tar.bz2
edit-klwiktionary,Wiktionary edits (kl),mkl,2597,17251,http://konect.cc/networks/edit-klwiktionary/,http://konect.cc/files/download.tsv.edit-klwiktionary.tar.bz2
edit-urwiktionary,Wiktionary edits (ur),mur,8456,16967,http://konect.cc/networks/edit-urwiktionary/,http://konect.cc/files/download.tsv.edit-urwiktionary.tar.bz2
ego-twitter,Twitter lists,TL,23370,33101,http://konect.cc/networks/ego-twitter/,http://konect.cc/files/download.tsv.ego-twitter.tar.bz2
librec-ciaodvd-trust,CiaoDVD trust,CT,4658,40133,http://konect.cc/networks/librec-ciaodvd-trust/,http://konect.cc/files/download.tsv.librec-ciaodvd-trust.tar.bz2
sociopatterns-infectious,Infectious,If,410,17298,http://konect.cc/networks/sociopatterns-infectious/,http://konect.cc/files/download.tsv.sociopatterns-infectious.tar.bz2
edit-jamwiki,Wikipedia edits (jam),jam,2922,17647,http://konect.cc/networks/edit-jamwiki/,http://konect.cc/files/download.tsv.edit-jamwiki.tar.bz2
edit-svwikiquote,Wikiquote edits (sv),qsv,4205,17517,http://konect.cc/networks/edit-svwikiquote/,http://konect.cc/files/download.tsv.edit-svwikiquote.tar.bz2
edit-dzwiki,Wikipedia edits (dz),dz,2362,17931,http://konect.cc/networks/edit-dzwiki/,http://konect.cc/files/download.tsv.edit-dzwiki.tar.bz2
edit-hrwikiquote,Wikiquote edits (hr),qhr,3762,17950,http://konect.cc/networks/edit-hrwikiquote/,http://konect.cc/files/download.tsv.edit-hrwikiquote.tar.bz2
edit-tyvwiki,Wikipedia edits (tyv),tyv,4156,18361,http://konect.cc/networks/edit-tyvwiki/,http://konect.cc/files/download.tsv.edit-tyvwiki.tar.bz2
edit-wowiktionary,Wiktionary edits (wo),mwo,3964,17778,http://konect.cc/networks/edit-wowiktionary/,http://konect.cc/files/download.tsv.edit-wowiktionary.tar.bz2
edit-dawikibooks,Wikibooks edits (da),bda,4567,17832,http://konect.cc/networks/edit-dawikibooks/,http://konect.cc/files/download.tsv.edit-dawikibooks.tar.bz2
librec-filmtrust-ratings,FilmTrust ratings,FR,3579,35494,http://konect.cc/networks/librec-filmtrust-ratings/,http://konect.cc/files/download.tsv.librec-filmtrust-ratings.tar.bz2
edit-svwikiversity,Wikiversity edits (sv),ysv,3417,18300,http://konect.cc/networks/edit-svwikiversity/,http://konect.cc/files/download.tsv.edit-svwikiversity.tar.bz2
edit-elwikivoyage,Wikivoyage edits (el),vel,2759,19378,http://konect.cc/networks/edit-elwikivoyage/,http://konect.cc/files/download.tsv.edit-elwikivoyage.tar.bz2
edit-rowikibooks,Wikibooks edits (ro),bro,4740,18527,http://konect.cc/networks/edit-rowikibooks/,http://konect.cc/files/download.tsv.edit-rowikibooks.tar.bz2
prosper-watch,Prosper listings,PW,23965,35377,http://konect.cc/networks/prosper-watch/,none
edit-kowikiquote,Wikiquote edits (ko),qko,4197,18841,http://konect.cc/networks/edit-kowikiquote/,http://konect.cc/files/download.tsv.edit-kowikiquote.tar.bz2
edit-kowikinews,Wikinews edits (ko),nko,3508,19011,http://konect.cc/networks/edit-kowikinews/,http://konect.cc/files/download.tsv.edit-kowikinews.tar.bz2
edit-bswikinews,Wikinews edits (bs),nbs,4540,18981,http://konect.cc/networks/edit-bswikinews/,http://konect.cc/files/download.tsv.edit-bswikinews.tar.bz2
p2p-Gnutella04,Gnutella (04),GN,10876,39994,http://konect.cc/networks/p2p-Gnutella04/,http://konect.cc/files/download.tsv.p2p-Gnutella04.tar.bz2
sociopatterns-hypertext,Hypertext 2009,HY,113,20818,http://konect.cc/networks/sociopatterns-hypertext/,http://konect.cc/files/download.tsv.sociopatterns-hypertext.tar.bz2
edit-omwiki,Wikipedia edits (om),om,3582,19420,http://konect.cc/networks/edit-omwiki/,http://konect.cc/files/download.tsv.edit-omwiki.tar.bz2
contact,Haggle,HA,274,28244,http://konect.cc/networks/contact/,http://konect.cc/files/download.tsv.contact.tar.bz2
edit-eowikiquote,Wikiquote edits (eo),qeo,4262,19798,http://konect.cc/networks/edit-eowikiquote/,http://konect.cc/files/download.tsv.edit-eowikiquote.tar.bz2
tntp-ChicagoRegional,Chicago,CR,12982,39018,http://konect.cc/networks/tntp-ChicagoRegional/,http://konect.cc/files/download.tsv.tntp-ChicagoRegional.tar.bz2
lqfb-All,LiquidFeedback (all),La,2154,18060,http://konect.cc/networks/lqfb-All/,none
edit-xhwiki,Wikipedia edits (xh),xh,3606,20309,http://konect.cc/networks/edit-xhwiki/,http://konect.cc/files/download.tsv.edit-xhwiki.tar.bz2
ego-gplus,Google+ (NIPS),GP,23628,39242,http://konect.cc/networks/ego-gplus/,http://konect.cc/files/download.tsv.ego-gplus.tar.bz2
lqfb-temporal,LiquidFeedback (temporal),LQt,127833,18059,http://konect.cc/networks/lqfb-temporal/,none
edit-elwikiquote,Wikiquote edits (el),qel,4390,20779,http://konect.cc/networks/edit-elwikiquote/,http://konect.cc/files/download.tsv.edit-elwikiquote.tar.bz2
edit-vecwiktionary,Wiktionary edits (vec),mvec,3366,20858,http://konect.cc/networks/edit-vecwiktionary/,http://konect.cc/files/download.tsv.edit-vecwiktionary.tar.bz2
edit-sdwiktionary,Wiktionary edits (sd),msd,5237,20835,http://konect.cc/networks/edit-sdwiktionary/,http://konect.cc/files/download.tsv.edit-sdwiktionary.tar.bz2
edit-jawikiquote,Wikiquote edits (ja),qja,5011,20595,http://konect.cc/networks/edit-jawikiquote/,http://konect.cc/files/download.tsv.edit-jawikiquote.tar.bz2
edit-tkwiktionary,Wiktionary edits (tk),mtk,5810,20603,http://konect.cc/networks/edit-tkwiktionary/,http://konect.cc/files/download.tsv.edit-tkwiktionary.tar.bz2
edit-viwikiquote,Wikiquote edits (vi),qvi,3929,20595,http://konect.cc/networks/edit-viwikiquote/,http://konect.cc/files/download.tsv.edit-viwikiquote.tar.bz2
edit-sqwikibooks,Wikibooks edits (sq),bsq,7177,21709,http://konect.cc/networks/edit-sqwikibooks/,http://konect.cc/files/download.tsv.edit-sqwikibooks.tar.bz2
edit-gdwiktionary,Wiktionary edits (gd),mgd,4377,21686,http://konect.cc/networks/edit-gdwiktionary/,http://konect.cc/files/download.tsv.edit-gdwiktionary.tar.bz2
edit-zawiki,Wikipedia edits (za),za,3503,21987,http://konect.cc/networks/edit-zawiki/,http://konect.cc/files/download.tsv.edit-zawiki.tar.bz2
edit-kowikibooks,Wikibooks edits (ko),bko,6633,22016,http://konect.cc/networks/edit-kowikibooks/,http://konect.cc/files/download.tsv.edit-kowikibooks.tar.bz2
dimacs10-as-22july06,Autonomous systems (DIMACS10),AS,22963,48436,http://konect.cc/networks/dimacs10-as-22july06/,http://konect.cc/files/download.tsv.dimacs10-as-22july06.tar.bz2
edit-tswiki,Wikipedia edits (ts),ts,2915,22812,http://konect.cc/networks/edit-tswiki/,http://konect.cc/files/download.tsv.edit-tswiki.tar.bz2
edit-crwiki,Wikipedia edits (cr),cr,3322,22700,http://konect.cc/networks/edit-crwiki/,http://konect.cc/files/download.tsv.edit-crwiki.tar.bz2
edit-dtywiki,Wikipedia edits (dty),dty,5803,22875,http://konect.cc/networks/edit-dtywiki/,http://konect.cc/files/download.tsv.edit-dtywiki.tar.bz2
edit-cswikibooks,Wikibooks edits (cs),bcs,4918,22552,http://konect.cc/networks/edit-cswikibooks/,http://konect.cc/files/download.tsv.edit-cswikibooks.tar.bz2
edit-hawiki,Wikipedia edits (ha),ha,4286,23338,http://konect.cc/networks/edit-hawiki/,http://konect.cc/files/download.tsv.edit-hawiki.tar.bz2
edit-hewikinews,Wikinews edits (he),nhe,4946,23441,http://konect.cc/networks/edit-hewikinews/,http://konect.cc/files/download.tsv.edit-hewikinews.tar.bz2
edit-orwikisource,Wikiquote edits (or),qor,9102,23164,http://konect.cc/networks/edit-orwikisource/,http://konect.cc/files/download.tsv.edit-orwikisource.tar.bz2
edit-kawikiquote,Wikiquote edits (ka),qka,4140,23721,http://konect.cc/networks/edit-kawikiquote/,http://konect.cc/files/download.tsv.edit-kawikiquote.tar.bz2
edit-pnbwiktionary,Wiktionary edits (pnb),mpnb,10310,23901,http://konect.cc/networks/edit-pnbwiktionary/,http://konect.cc/files/download.tsv.edit-pnbwiktionary.tar.bz2
edit-elwikiversity,Wikiversity edits (el),yel,4714,23644,http://konect.cc/networks/edit-elwikiversity/,http://konect.cc/files/download.tsv.edit-elwikiversity.tar.bz2
edit-viwikivoyage,Wikivoyage edits (vi),vvi,3973,25348,http://konect.cc/networks/edit-viwikivoyage/,http://konect.cc/files/download.tsv.edit-viwikivoyage.tar.bz2
edit-ugwiktionary,Wiktionary edits (ug),mug,3826,25269,http://konect.cc/networks/edit-ugwiktionary/,http://konect.cc/files/download.tsv.edit-ugwiktionary.tar.bz2
as-caida20071105,CAIDA,IN,26475,53381,http://konect.cc/networks/as-caida20071105/,http://konect.cc/files/download.tsv.as-caida20071105.tar.bz2
edit-bewikisource,Wikiquote edits (be),qbe,10087,25040,http://konect.cc/networks/edit-bewikisource/,http://konect.cc/files/download.tsv.edit-bewikisource.tar.bz2
edit-anwiktionary,Wiktionary edits (an),man,6101,25735,http://konect.cc/networks/edit-anwiktionary/,http://konect.cc/files/download.tsv.edit-anwiktionary.tar.bz2
edit-idwikisource,Wikiquote edits (id),qid,10063,25631,http://konect.cc/networks/edit-idwikisource/,http://konect.cc/files/download.tsv.edit-idwikisource.tar.bz2
soc-sign-bitcoinalpha,Bitcoin Alpha,BA,3783,24186,http://konect.cc/networks/soc-sign-bitcoinalpha/,http://konect.cc/files/download.tsv.soc-sign-bitcoinalpha.tar.bz2
edit-trwikibooks,Wikibooks edits (tr),btr,7395,25452,http://konect.cc/networks/edit-trwikibooks/,http://konect.cc/files/download.tsv.edit-trwikibooks.tar.bz2
edit-iawiktionary,Wiktionary edits (ia),mia,7645,25707,http://konect.cc/networks/edit-iawiktionary/,http://konect.cc/files/download.tsv.edit-iawiktionary.tar.bz2
edit-rowikinews,Wikinews edits (ro),nro,7741,26566,http://konect.cc/networks/edit-rowikinews/,http://konect.cc/files/download.tsv.edit-rowikinews.tar.bz2
edit-biwiki,Wikipedia edits (bi),bi,3646,26344,http://konect.cc/networks/edit-biwiki/,http://konect.cc/files/download.tsv.edit-biwiki.tar.bz2
edit-gotwiki,Wikipedia edits (got),got,3939,26259,http://konect.cc/networks/edit-gotwiki/,http://konect.cc/files/download.tsv.edit-gotwiki.tar.bz2
edit-ikwiki,Wikipedia edits (ik),ik,2836,26843,http://konect.cc/networks/edit-ikwiki/,http://konect.cc/files/download.tsv.edit-ikwiki.tar.bz2
edit-zuwiki,Wikipedia edits (zu),zu,4531,26511,http://konect.cc/networks/edit-zuwiki/,http://konect.cc/files/download.tsv.edit-zuwiki.tar.bz2
edit-eowikisource,Wikiquote edits (eo),qeo,7681,26697,http://konect.cc/networks/edit-eowikisource/,http://konect.cc/files/download.tsv.edit-eowikisource.tar.bz2
edit-simplewikiquote,Wikiquote edits (simple),qsimple,6366,27042,http://konect.cc/networks/edit-simplewikiquote/,http://konect.cc/files/download.tsv.edit-simplewikiquote.tar.bz2
edit-slwikiquote,Wikiquote edits (sl),qsl,5297,27934,http://konect.cc/networks/edit-slwikiquote/,http://konect.cc/files/download.tsv.edit-slwikiquote.tar.bz2
edit-huwikinews,Wikinews edits (hu),nhu,5541,27265,http://konect.cc/networks/edit-huwikinews/,http://konect.cc/files/download.tsv.edit-huwikinews.tar.bz2
edit-slwikiversity,Wikiversity edits (sl),ysl,3447,27076,http://konect.cc/networks/edit-slwikiversity/,http://konect.cc/files/download.tsv.edit-slwikiversity.tar.bz2
edit-smwiki,Wikipedia edits (sm),sm,3364,28469,http://konect.cc/networks/edit-smwiki/,http://konect.cc/files/download.tsv.edit-smwiki.tar.bz2
edit-ltgwiki,Wikipedia edits (ltg),ltg,3158,28951,http://konect.cc/networks/edit-ltgwiki/,http://konect.cc/files/download.tsv.edit-ltgwiki.tar.bz2
p2p-Gnutella25,Gnutella (25),GN,22687,54705,http://konect.cc/networks/p2p-Gnutella25/,http://konect.cc/files/download.tsv.p2p-Gnutella25.tar.bz2
wikilens-ratings,WikiLens,WL,5437,26937,http://konect.cc/networks/wikilens-ratings/,http://konect.cc/files/download.tsv.wikilens-ratings.tar.bz2
advogato,Advogato,AD,6541,51127,http://konect.cc/networks/advogato/,http://konect.cc/files/download.tsv.advogato.tar.bz2
edit-sswiki,Wikipedia edits (ss),ss,2752,29222,http://konect.cc/networks/edit-sswiki/,http://konect.cc/files/download.tsv.edit-sswiki.tar.bz2
edit-towiki,Wikipedia edits (to),to,5581,29298,http://konect.cc/networks/edit-towiki/,http://konect.cc/files/download.tsv.edit-towiki.tar.bz2
wiki_talk_nds,Wikipedia talk (nds),Tnds,23132,27432,http://konect.cc/networks/wiki_talk_nds/,http://konect.cc/files/download.tsv.wiki_talk_nds.tar.bz2
edit-chrwiki,Wikipedia edits (chr),chr,4273,29664,http://konect.cc/networks/edit-chrwiki/,http://konect.cc/files/download.tsv.edit-chrwiki.tar.bz2
edit-bmwiki,Wikipedia edits (bm),bm,3040,29856,http://konect.cc/networks/edit-bmwiki/,http://konect.cc/files/download.tsv.edit-bmwiki.tar.bz2
edit-csbwiktionary,Wiktionary edits (csb),mcsb,2763,29959,http://konect.cc/networks/edit-csbwiktionary/,http://konect.cc/files/download.tsv.edit-csbwiktionary.tar.bz2
edit-pntwiki,Wikipedia edits (pnt),pnt,2478,30942,http://konect.cc/networks/edit-pntwiki/,http://konect.cc/files/download.tsv.edit-pntwiki.tar.bz2
edit-nowikibooks,Wikibooks edits (no),bno,4821,29595,http://konect.cc/networks/edit-nowikibooks/,http://konect.cc/files/download.tsv.edit-nowikibooks.tar.bz2
edit-tcywiki,Wikipedia edits (tcy),tcy,3884,30401,http://konect.cc/networks/edit-tcywiki/,http://konect.cc/files/download.tsv.edit-tcywiki.tar.bz2
edit-svwikibooks,Wikibooks edits (sv),bsv,7094,30924,http://konect.cc/networks/edit-svwikibooks/,http://konect.cc/files/download.tsv.edit-svwikibooks.tar.bz2
openflights,OpenFlights (Patokallio),OF,3425,67663,http://konect.cc/networks/openflights/,http://konect.cc/files/download.tsv.openflights.tar.bz2
edit-pihwiki,Wikipedia edits (pih),pih,3152,32283,http://konect.cc/networks/edit-pihwiki/,http://konect.cc/files/download.tsv.edit-pihwiki.tar.bz2
edit-nsowiki,Wikipedia edits (nso),nso,9785,32788,http://konect.cc/networks/edit-nsowiki/,http://konect.cc/files/download.tsv.edit-nsowiki.tar.bz2
edit-elwikibooks,Wikibooks edits (el),bel,4953,30846,http://konect.cc/networks/edit-elwikibooks/,http://konect.cc/files/download.tsv.edit-elwikibooks.tar.bz2
edit-iuwiki,Wikipedia edits (iu),iu,3586,32761,http://konect.cc/networks/edit-iuwiki/,http://konect.cc/files/download.tsv.edit-iuwiki.tar.bz2
opsahl-collaboration,arXiv cond-mat,AC,38741,58595,http://konect.cc/networks/opsahl-collaboration/,http://konect.cc/files/download.tsv.opsahl-collaboration.tar.bz2
edit-fiwikiversity,Wikiversity edits (fi),yfi,4396,31157,http://konect.cc/networks/edit-fiwikiversity/,http://konect.cc/files/download.tsv.edit-fiwikiversity.tar.bz2
edit-eewiki,Wikipedia edits (ee),ee,3343,33264,http://konect.cc/networks/edit-eewiki/,http://konect.cc/files/download.tsv.edit-eewiki.tar.bz2
edit-ukwikinews,Wikinews edits (uk),nuk,6964,32800,http://konect.cc/networks/edit-ukwikinews/,http://konect.cc/files/download.tsv.edit-ukwikinews.tar.bz2
opsahl-ucforum,UC Irvine forum,UF,1421,33720,http://konect.cc/networks/opsahl-ucforum/,http://konect.cc/files/download.tsv.opsahl-ucforum.tar.bz2
edit-viwikibooks,Wikibooks edits (vi),bvi,9144,32618,http://konect.cc/networks/edit-viwikibooks/,http://konect.cc/files/download.tsv.edit-viwikibooks.tar.bz2
edit-svwikinews,Wikinews edits (sv),nsv,9105,34241,http://konect.cc/networks/edit-svwikinews/,http://konect.cc/files/download.tsv.edit-svwikinews.tar.bz2
edit-thwikibooks,Wikibooks edits (th),bth,12734,33220,http://konect.cc/networks/edit-thwikibooks/,http://konect.cc/files/download.tsv.edit-thwikibooks.tar.bz2
wang-amazon,Amazon (Wang),AM,26911,29062,http://konect.cc/networks/wang-amazon/,http://konect.cc/files/download.tsv.wang-amazon.tar.bz2
p2p-Gnutella24,Gnutella (24),GN,26518,65369,http://konect.cc/networks/p2p-Gnutella24/,http://konect.cc/files/download.tsv.p2p-Gnutella24.tar.bz2
edit-srnwiki,Wikipedia edits (srn),srn,3150,35199,http://konect.cc/networks/edit-srnwiki/,http://konect.cc/files/download.tsv.edit-srnwiki.tar.bz2
edit-kgwiki,Wikipedia edits (kg),kg,3384,35497,http://konect.cc/networks/edit-kgwiki/,http://konect.cc/files/download.tsv.edit-kgwiki.tar.bz2
edit-kaawiki,Wikipedia edits (kaa),kaa,5469,36012,http://konect.cc/networks/edit-kaawiki/,http://konect.cc/files/download.tsv.edit-kaawiki.tar.bz2
edit-roa_rupwiki,Wikipedia edits (roa-rup),roa-rup,4609,36438,http://konect.cc/networks/edit-roa_rupwiki/,http://konect.cc/files/download.tsv.edit-roa_rupwiki.tar.bz2
edit-huwikiquote,Wikiquote edits (hu),qhu,5720,37038,http://konect.cc/networks/edit-huwikiquote/,http://konect.cc/files/download.tsv.edit-huwikiquote.tar.bz2
edit-snwiki,Wikipedia edits (sn),sn,9067,36007,http://konect.cc/networks/edit-snwiki/,http://konect.cc/files/download.tsv.edit-snwiki.tar.bz2
edit-dawikisource,Wikiquote edits (da),qda,21230,36012,http://konect.cc/networks/edit-dawikisource/,http://konect.cc/files/download.tsv.edit-dawikisource.tar.bz2
edit-bnwiktionary,Wiktionary edits (bn),mbn,10258,36040,http://konect.cc/networks/edit-bnwiktionary/,http://konect.cc/files/download.tsv.edit-bnwiktionary.tar.bz2
edit-glkwiki,Wikipedia edits (glk),glk,12825,36620,http://konect.cc/networks/edit-glkwiki/,http://konect.cc/files/download.tsv.edit-glkwiki.tar.bz2
edit-rmywiki,Wikipedia edits (rmy),rmy,3197,38114,http://konect.cc/networks/edit-rmywiki/,http://konect.cc/files/download.tsv.edit-rmywiki.tar.bz2
edit-trwikisource,Wikiquote edits (tr),qtr,12748,36566,http://konect.cc/networks/edit-trwikisource/,http://konect.cc/files/download.tsv.edit-trwikisource.tar.bz2
edit-newiktionary,Wiktionary edits (ne),mne,7253,37048,http://konect.cc/networks/edit-newiktionary/,http://konect.cc/files/download.tsv.edit-newiktionary.tar.bz2
edit-fiwikivoyage,Wikivoyage edits (fi),vfi,4216,38039,http://konect.cc/networks/edit-fiwikivoyage/,http://konect.cc/files/download.tsv.edit-fiwikivoyage.tar.bz2
edit-etwikisource,Wikiquote edits (et),qet,20902,37403,http://konect.cc/networks/edit-etwikisource/,http://konect.cc/files/download.tsv.edit-etwikisource.tar.bz2
edit-kbdwiki,Wikipedia edits (kbd),kbd,7157,39586,http://konect.cc/networks/edit-kbdwiki/,http://konect.cc/files/download.tsv.edit-kbdwiki.tar.bz2
edit-abwiki,Wikipedia edits (ab),ab,6698,39606,http://konect.cc/networks/edit-abwiki/,http://konect.cc/files/download.tsv.edit-abwiki.tar.bz2
edit-lbewiki,Wikipedia edits (lbe),lbe,11212,39548,http://konect.cc/networks/edit-lbewiki/,http://konect.cc/files/download.tsv.edit-lbewiki.tar.bz2
edit-mkwiktionary,Wiktionary edits (mk),mmk,6388,40267,http://konect.cc/networks/edit-mkwiktionary/,http://konect.cc/files/download.tsv.edit-mkwiktionary.tar.bz2
edit-tywiki,Wikipedia edits (ty),ty,3404,42098,http://konect.cc/networks/edit-tywiki/,http://konect.cc/files/download.tsv.edit-tywiki.tar.bz2
edit-bxrwiki,Wikipedia edits (bxr),bxr,8187,41140,http://konect.cc/networks/edit-bxrwiki/,http://konect.cc/files/download.tsv.edit-bxrwiki.tar.bz2
dnc-temporalGraph,DNC emails,DNc,2029,39264,http://konect.cc/networks/dnc-temporalGraph/,http://konect.cc/files/download.tsv.dnc-temporalGraph.tar.bz2
edit-bewiktionary,Wiktionary edits (be),mbe,7426,41935,http://konect.cc/networks/edit-bewiktionary/,http://konect.cc/files/download.tsv.edit-bewiktionary.tar.bz2
edit-azwikiquote,Wikiquote edits (az),qaz,5046,42321,http://konect.cc/networks/edit-azwikiquote/,http://konect.cc/files/download.tsv.edit-azwikiquote.tar.bz2
edit-hrwikisource,Wikiquote edits (hr),qhr,14701,42896,http://konect.cc/networks/edit-hrwikisource/,http://konect.cc/files/download.tsv.edit-hrwikisource.tar.bz2
edit-zhwikiquote,Wikiquote edits (zh),qzh,11164,41991,http://konect.cc/networks/edit-zhwikiquote/,http://konect.cc/files/download.tsv.edit-zhwikiquote.tar.bz2
edit-tawikinews,Wikinews edits (ta),nta,14005,44804,http://konect.cc/networks/edit-tawikinews/,http://konect.cc/files/download.tsv.edit-tawikinews.tar.bz2
edit-fiwikiquote,Wikiquote edits (fi),qfi,6780,45194,http://konect.cc/networks/edit-fiwikiquote/,http://konect.cc/files/download.tsv.edit-fiwikiquote.tar.bz2
edit-arwikiquote,Wikiquote edits (ar),qar,23375,43758,http://konect.cc/networks/edit-arwikiquote/,http://konect.cc/files/download.tsv.edit-arwikiquote.tar.bz2
edit-angwiktionary,Wiktionary edits (ang),mang,4071,45925,http://konect.cc/networks/edit-angwiktionary/,http://konect.cc/files/download.tsv.edit-angwiktionary.tar.bz2
filmtipset_friend,Filmtipset friendships,Ff,39199,87415,http://konect.cc/networks/filmtipset_friend/,none
edit-mdfwiki,Wikipedia edits (mdf),mdf,5216,46607,http://konect.cc/networks/edit-mdfwiki/,http://konect.cc/files/download.tsv.edit-mdfwiki.tar.bz2
edit-cswikinews,Wikinews edits (cs),ncs,10943,47698,http://konect.cc/networks/edit-cswikinews/,http://konect.cc/files/download.tsv.edit-cswikinews.tar.bz2
wiki_talk_eo,Wikipedia talk (eo),Teo,7586,47070,http://konect.cc/networks/wiki_talk_eo/,http://konect.cc/files/download.tsv.wiki_talk_eo.tar.bz2
edit-koiwiki,Wikipedia edits (koi),koi,7691,47771,http://konect.cc/networks/edit-koiwiki/,http://konect.cc/files/download.tsv.edit-koiwiki.tar.bz2
edit-azwikisource,Wikiquote edits (az),qaz,16231,45841,http://konect.cc/networks/edit-azwikisource/,http://konect.cc/files/download.tsv.edit-azwikisource.tar.bz2
edit-idwikibooks,Wikibooks edits (id),bid,13841,45536,http://konect.cc/networks/edit-idwikibooks/,http://konect.cc/files/download.tsv.edit-idwikibooks.tar.bz2
edit-pagwiki,Wikipedia edits (pag),pag,7853,47678,http://konect.cc/networks/edit-pagwiki/,http://konect.cc/files/download.tsv.edit-pagwiki.tar.bz2
edit-viwikisource,Wikiquote edits (vi),qvi,18737,45947,http://konect.cc/networks/edit-viwikisource/,http://konect.cc/files/download.tsv.edit-viwikisource.tar.bz2
edit-srwikisource,Wikiquote edits (sr),qsr,17185,46213,http://konect.cc/networks/edit-srwikisource/,http://konect.cc/files/download.tsv.edit-srwikisource.tar.bz2
edit-lowiki,Wikipedia edits (lo),lo,8990,46786,http://konect.cc/networks/edit-lowiki/,http://konect.cc/files/download.tsv.edit-lowiki.tar.bz2
edit-nahwiktionary,Wiktionary edits (nah),mnah,9196,47745,http://konect.cc/networks/edit-nahwiktionary/,http://konect.cc/files/download.tsv.edit-nahwiktionary.tar.bz2
p2p-Gnutella30,Gnutella (30),GN,36682,88328,http://konect.cc/networks/p2p-Gnutella30/,http://konect.cc/files/download.tsv.p2p-Gnutella30.tar.bz2
edit-bswikiquote,Wikiquote edits (bs),qbs,8557,48896,http://konect.cc/networks/edit-bswikiquote/,http://konect.cc/files/download.tsv.edit-bswikiquote.tar.bz2
edit-cbk_zamwiki,Wikipedia edits (cbk-zam),cbk-zam,6230,48432,http://konect.cc/networks/edit-cbk_zamwiki/,http://konect.cc/files/download.tsv.edit-cbk_zamwiki.tar.bz2
edit-gawiktionary,Wiktionary edits (ga),mga,6005,48361,http://konect.cc/networks/edit-gawiktionary/,http://konect.cc/files/download.tsv.edit-gawiktionary.tar.bz2
edit-nlwikiquote,Wikiquote edits (nl),qnl,6411,49046,http://konect.cc/networks/edit-nlwikiquote/,http://konect.cc/files/download.tsv.edit-nlwikiquote.tar.bz2
marvel,Marvel,MA,25914,96662,http://konect.cc/networks/marvel/,http://konect.cc/files/download.tsv.marvel.tar.bz2
soc-sign-bitcoinotc,Bitcoin OTC,BO,5881,35592,http://konect.cc/networks/soc-sign-bitcoinotc/,http://konect.cc/files/download.tsv.soc-sign-bitcoinotc.tar.bz2
edit-pcdwiki,Wikipedia edits (pcd),pcd,8580,50982,http://konect.cc/networks/edit-pcdwiki/,http://konect.cc/files/download.tsv.edit-pcdwiki.tar.bz2
subelj_cora,Cora,CC,23166,91500,http://konect.cc/networks/subelj_cora/,http://konect.cc/files/download.tsv.subelj_cora.tar.bz2
